conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_file,clean_text
1901632963181469747,Mon Mar 17 13:53:23 +0000 2025,1,udah ditahap males apply loker tapi stress gapunya duit samsek krn selama ini gapernah nganggur senganggurnya masih dpt uang jajan krn kuliah. skrg udh lulus bnr2 ga dikasi uang sepeserpun ya Allah pengen nangis,1901632963181469747,,,in,,0,1,0,https://x.com/undefined/status/1901632963181469747,1182275365776973825,,tweets-data/lulus_tapi_nganggur.csv,udah ditahap males apply loker tapi stress gapunya duit samsek krn selama ini gapernah nganggur senganggurnya masih dpt uang jajan krn kuliah skrg udh lulus bnr ga dikasi uang sepeserpun ya allah pengen nangis
1901509561275515201,Mon Mar 17 07:30:10 +0000 2025,2,@0rgpulupulu @cegomana Gak boleh merendah begitu Nder masa depan orang tak ada yang tau... Gw udah lulus Xperience di perkebunan nganggur juga karena keadaan.. Inget Allah gak liat Kita karena pendidikan nya tapi Allah SWT liat ketaqwaan kita. Jadi kita masih bisa dapet kesempatan yang sama Nder,1901536523813822954,,0rgpulupulu,in,,0,1,0,https://x.com/undefined/status/1901536523813822954,3310566600,,tweets-data/lulus_tapi_nganggur.csv,gak boleh merendah begitu nder masa depan orang tak ada yang tau gw udah lulus xperience di perkebunan nganggur juga karena keadaan inget allah gak liat kita karena pendidikan nya tapi allah swt liat ketaqwaan kita jadi kita masih bisa dapet kesempatan yang sama nder
1901517717343019113,Mon Mar 17 06:15:26 +0000 2025,1,OMG!! Daou as a son of chinese decent (yg nggak kaya) menghadapi quarter life crisis gegara udah lulus kuliah tapi masih nganggur the key point: bocahnya TANTRUMAN AKHDHDIIWGAFAJJAGSGSN https://t.co/MFOJtTz6qD,1901517717343019113,https://pbs.twimg.com/media/GmOMSAVbgAAoZRx.jpg,,in,,0,1,0,https://x.com/undefined/status/1901517717343019113,1673991040913805315,,tweets-data/lulus_tapi_nganggur.csv,omg daou as a son of chinese decent yg nggak kaya menghadapi quarter life crisis gegara udah lulus kuliah tapi masih nganggur the key point bocahnya tantruman akhdhdiiwgafajjagsgsn
1901455990509433045,Mon Mar 17 02:50:55 +0000 2025,832,@tanyarlfes nder suamiku ketemu aku disaat aku kondisi nganggur telat lulus dan ijazah masih belum diambil di univ gara2 depresi. tapi suamiku mental provider dan support aku untuk menyelesaikan hal2 yg masih bisa aku perjuangkan. semoga cowo yg kamu temui orang yg baik juga nder.,1901466247918985686,,tanyarlfes,in,,17,13,47,https://x.com/undefined/status/1901466247918985686,1783547827421052928,,tweets-data/lulus_tapi_nganggur.csv,nder suamiku ketemu aku disaat aku kondisi nganggur telat lulus dan ijazah masih belum diambil di univ gara depresi tapi suamiku mental provider dan support aku untuk menyelesaikan hal yg masih bisa aku perjuangkan semoga cowo yg kamu temui orang yg baik juga nder
1901305581467779315,Sun Mar 16 16:12:29 +0000 2025,0,ini pemikiran sesat gwe yang berbunyi gamau cepet lulus takut pas lulus nganggur lumayan lama tapi amit2 dipersulit lulusnya yang penting maj tetep ikhtiar dan berdoa untuk dimudahkan segala urusan &lt;3,1901305581467779315,,,in,,0,0,0,https://x.com/undefined/status/1901305581467779315,1388925239661240320,,tweets-data/lulus_tapi_nganggur.csv,ini pemikiran sesat gwe yang berbunyi gamau cepet lulus takut pas lulus nganggur lumayan lama tapi amit dipersulit lulusnya yang penting maj tetep ikhtiar dan berdoa untuk dimudahkan segala urusan lt
1901204790559834507,Sun Mar 16 09:42:49 +0000 2025,0,Gw cape kerja gaji mentok umr gw baru lulus sekolah lu paksa kerja ngehidupin keluarga gegara bapak yg nganggur tapi selalu ngerokok gw kerja bayarin ini itu Gw eelain gk kuliah buat keeja biae biea biayain klian taii,1901207515972686116,,taerttaglia,in,,0,1,0,https://x.com/undefined/status/1901207515972686116,1731990817378873344,,tweets-data/lulus_tapi_nganggur.csv,gw cape kerja gaji mentok umr gw baru lulus sekolah lu paksa kerja ngehidupin keluarga gegara bapak yg nganggur tapi selalu ngerokok gw kerja bayarin ini itu gw eelain gk kuliah buat keeja biae biea biayain klian taii
1901140046410858693,Sun Mar 16 06:54:38 +0000 2025,38,@defenceview_id Sama aja kek kampus. Permintaan/ketersediaan lapangan kerja di bidang tertentu gak terlalu banyak tapi jurusan tertentu terus nambah kuota karena peminat di jurusan itu banyak. Akhirnya lulus dari jurusan itu harus bersaing mati2an dan banyak yg nganggur/kerja gk sesuai bidang.,1901165194514231333,,defenceview_id,in,,0,5,4,https://x.com/undefined/status/1901165194514231333,1776320923844722691,,tweets-data/lulus_tapi_nganggur.csv,sama aja kek kampus permintaanketersediaan lapangan kerja di bidang tertentu gak terlalu banyak tapi jurusan tertentu terus nambah kuota karena peminat di jurusan itu banyak akhirnya lulus dari jurusan itu harus bersaing matian dan banyak yg nganggurkerja gk sesuai bidang
1900819396798673280,Sun Mar 16 06:32:34 +0000 2025,1,@Falkenhaynz lulus 2021. baru dapet kerja 2024 akhir. tapi cuma tahan 4 bulan '-' sekarsng nyari² kerja gak bengong doang sih. maiah jualan online juga. tapi masih dianggap nganggur jadi ayo cari kerja lagi ,1901159639452185054,,keharyapatihan,in,,0,0,0,https://x.com/undefined/status/1901159639452185054,1124706342575325184,,tweets-data/lulus_tapi_nganggur.csv,lulus  baru dapet kerja  akhir tapi cuma tahan  bulan  sekarsng nyari² kerja gak bengong doang sih maiah jualan online juga tapi masih dianggap nganggur jadi ayo cari kerja lagi
1900819396798673280,Sun Mar 16 04:53:24 +0000 2025,1,@Falkenhaynz abis lulus sekul 2021 gw langsung kuliah sampe 2023 tapi ga kelar abistu nganggur setaun baru dapet kerja februari kemarin selama nganggur ortu gw ga pernah yg maksa bgt buat cari kerja hidup masih enak lah tapi gw usahain jgn diem2 amat jadi gw suka bantu2 ortu sama usaha sdr,1901134681820528751,,keharyapatihan,in,,0,0,0,https://x.com/undefined/status/1901134681820528751,1754810362703286272,,tweets-data/lulus_tapi_nganggur.csv,abis lulus sekul  gw langsung kuliah sampe  tapi ga kelar abistu nganggur setaun baru dapet kerja februari kemarin selama nganggur ortu gw ga pernah yg maksa bgt buat cari kerja hidup masih enak lah tapi gw usahain jgn diem amat jadi gw suka bantu ortu sama usaha sdr
1901114751649984584,Sun Mar 16 03:34:12 +0000 2025,0,dulu waktu gw lulus dikejar ortu buat kerja gila banget. tekanan anak pertama buat langsung dapet kerjaan tapi adek gw udah nganggur berapa tahun pada pura-pura gak sadar semua,1901114751649984584,,,in,,0,2,0,https://x.com/undefined/status/1901114751649984584,1328026375777701888,,tweets-data/lulus_tapi_nganggur.csv,dulu waktu gw lulus dikejar ortu buat kerja gila banget tekanan anak pertama buat langsung dapet kerjaan tapi adek gw udah nganggur berapa tahun pada purapura gak sadar semua
